VOICE;NOTE
Bass Drum;35
Bass Drum 2;36
Side Stick;37
Snare M;38
Hand Clap;39
Snare Hard H;40
Tom Floor L;41
Hi-Hat Closed;42
Tom Floor H;43
Hi-Hat Pedal;44
Tom Low;45
Hi-Hat Open;46
Tom Mid L;47
Tom Mid H;48
Crash Cymbal 1;49
Tom High;50
Ride Cymbal 1;51
Chinese Cymbal;52
Ride Cymbal Cup;53
Tambourine;54
Splash Cymbal;55
Cowbell;56
Crash Cymbal 2;57
Vibraslap;58
Ride Cymbal 2;59
Bongo H;60
Bongo L;61
Conga H Mute;62
Conga H Open;63
Conga L;64
Timbale H;65
Timbale L;66
Agogo H;67
Agogo L;68
Cabasa;69
Maracas;70
Samba Whisle H;71
Samba Whisle L;72
Guiro Short;73
Guiro Long;74
Claves;75
Wood Block H;76
Wood Block L;77
Cuica Mute;78
Cuica Open;79
Triangle Mute;80
Triangle Open;81
